Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field ((backup) Browser/s),Custom field ((backup) Exists in the current implementation?),Custom field ((backup) External issue ID - old),Custom field ((backup) Integrator),Custom field ((backup) Issue Occurred On),Custom field ((backup) Issue Status Comment),Custom field ((backup) Platform),Custom field ((backup) Root of the problem),Custom field ((backup) Test Type),Custom field ((backup) Test case priority),Custom field ((backup) Type of Issue),Custom field ((backup) Work Type),"Custom field ((backup, del) Test tasks)","Custom field ((tmp, del) Build/s)","Custom field ((tmp, del?) TestCase Link)",Custom field (Account),Custom field (Actual Result),Custom field (Affected Test Cases),Custom field (Affects Build/s),Custom field (Asana link),Custom field (BT Jira ID),Custom field (BT Project),Custom field (Basecamp Link),Custom field (Billable Category),Custom field (Browser),Custom field (Browser / Environment),Custom field (Browser Version),Custom field (Build/s),Custom field (Business Unit),Custom field (CQ ID),Custom field (CS Project Coordinator),Custom field (Case Study necessity postpone date),Custom field (Client Device),Custom field (Client Device Version),Custom field (Cloud Version),Custom field (Core issue),Custom field (Created By),Custom field (Development),Custom field (End Date),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Error Type),Custom field (Expected Result),Custom field (Flagged),Custom field (Found by),Custom field (Functionality Changes?),Custom field (Handled By (SGW Tester)),Custom field (Hardware Version),Custom field (Impact),Custom field (Impacted Areas),Custom field (Importance),Custom field (Iteration),Custom field (Level),Custom field (New Original Estimate),Custom field (Next Step),Custom field (Number of candidates),Custom field (Occurrence),Custom field (Original story points),Custom field (Parent Link),Custom field (Partner Contact),Custom field (Payment Status),Custom field (Planned Efforts (FTE)),Custom field (Priority Level),Custom field (Proxy Required),Custom field (RFX Coordinator),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regional Coordinator),Custom field (Related Cases),Custom field (Reported Version),Custom field (Request Info From),Custom field (Revised),Custom field (Router),Custom field (SF Case No),Custom field (SGW Jira ID),Custom field (Severity/Importance),Custom field (Share with),Custom field (Solution),Sprint,Custom field (Start Date),Custom field (Supervisor),Custom field (TVS ID),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Team Role),Custom field (Test Type),Custom field (TestLink case),Custom field (Time Category),Custom field (To Attention Of),Custom field (Type of engagement),Custom field (URL),Custom field (Users),Custom field (Version To Fix),Custom field (WSJF),Custom field (Wiki Link),Custom field (Wires Link),Custom field (ZendeskID),Custom field (Обеспечение оборудованием),Comment,Comment,Comment,Comment
"Details page: ""Bedrooms quantity"" and ""Bathrooms quantity"" dropdowns contain and accept fractional values (e.g., 1.5, 2.5)",QATC-924373,3830900,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 11:30 PM,25/May/25 1:15 PM,14/Jun/25 2:49 PM,25/May/25 1:15 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Go to the Details page

 # Locate the drop-downs for Bedrooms quantity and Bathrooms quantity

 # Click the dropdown and observe available values

 # Select a fractional value like 1.5 or 2.5

*Actual result:* ""Bedrooms quantity"" and ""Bathrooms quantity"" dropdowns contain and accept fractional values (e.g., 1.5, 2.5) - see here [^Video 2025-05-23 02.29.19.mp4]

*Expected result:* Only whole number values (positive integers) should be shown and accepted, as room quantities should not be fractional","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"22/May/25 11:29 PM;m13.hasan;Video 2025-05-23 02.29.19.mp4;https://jira.a1qa.com/secure/attachment/2647070/Video+2025-05-23+02.29.19.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if3b94:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Sign-Up page: Password field accepts only 20 characters instead of the specified 32-character limit,QATC-924188,3830586,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 4:30 PM,25/May/25 7:15 PM,14/Jun/25 2:49 PM,25/May/25 1:21 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Navigate to the Sign-Up page on the application

 # In the Password field, attempt to enter a password longer than 20 characters

 # Observe when input stops registering characters

*Actual result:* Password field accepts only 20 characters instead of the specified 32-character limit - see here [^Video 2025-05-22 19.21.40.mp4]

*Expected result:* The Password field should allow up to 32 characters as specified in the requirements to support strong password creation","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"22/May/25 4:29 PM;m13.hasan;Video 2025-05-22 19.21.40.mp4;https://jira.a1qa.com/secure/attachment/2646766/Video+2025-05-22+19.21.40.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if39bk:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,"25/May/25 1:21 PM;e.sheremetyev;average;;;","25/May/25 7:15 PM;m13.hasan;Understood mentor;;;",,
"Sign-Up page: First Name, Last Name and Email Address fields exceed the maximum allowed character as specified",QATC-924181,3830570,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 4:19 PM,25/May/25 7:15 PM,14/Jun/25 2:49 PM,25/May/25 1:22 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Enter a value in the First Name field with more than 25 characters

 # Enter a value in the Last Name field with more than 25 characters

 # Enter an email address longer than 30 characters 

 # Enter a password
 # Click on Create Account

 

*Actual result:* First Name, Last Name, and Email Address fields exceed the maximum allowed character as specified - see here [^Video 2025-05-22 18.29.14.mp4]

*Expected result:* 
 * First Name and Last Name fields should restrict input to 1–25 character limit

 * Email Address field should restrict the length between 6 and 30 characters limit

 * Input exceeding these limits should be blocked or trigger a clear validation warning","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 4:19 PM;m13.hasan;Video 2025-05-22 18.29.14.mp4;https://jira.a1qa.com/secure/attachment/2646751/Video+2025-05-22+18.29.14.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if3980:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,"25/May/25 1:22 PM;e.sheremetyev;average;;;","25/May/25 7:15 PM;m13.hasan;Understood mentor;;;",,
"Sign-Up Page: ""Create Account"" button shows visual glitches when clicked with empty name fields",QATC-924163,3830429,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 3:19 PM,25/May/25 1:21 PM,14/Jun/25 2:49 PM,25/May/25 1:21 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Navigate to the Sign Up page
 # Provide all the information except the Name field to create an account
 # Click the ""Create Account"" button - see here [^Video 2025-05-22 18.18.11.mp4]

*Actual result:* The ""Create Account"" button shows visual glitches when clicked, and this behavior only occurs when ** First Name and Last Name are left empty

*Expected result:* The ""Create Account"" button should respond visually in a consistent manner when hovered or clicked, without showing any distortion or misalignment","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 3:19 PM;m13.hasan;Video 2025-05-22 18.18.11.mp4;https://jira.a1qa.com/secure/attachment/2646709/Video+2025-05-22+18.18.11.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if38co:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
"RoomBridge Website: Browser tab bar displays ""Company Name"" instead of site name and subpage titles while navigating",QATC-924152,3830408,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 2:48 PM,25/May/25 7:15 PM,14/Jun/25 2:49 PM,25/May/25 1:20 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Hover over the browser tab bar to view the tooltip text
 # Navigate to different subpages (e.g., Sign-Up, Listings, Profile) and view the information

*Actual result:* Browser tab bar displays ""Company Name"" instead of site name and subpage titles while navigating - see here [^Video 2025-05-22 17.46.36.mp4]

*Expected result:* The tab title should dynamically reflect the site branding (e.g., ""RoomBridge""), and it should also include relevant subpage information (e.g., ""RoomBridge – Sign Up"", ""RoomBridge – Listings"")","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"22/May/25 2:47 PM;m13.hasan;Video 2025-05-22 17.46.36.mp4;https://jira.a1qa.com/secure/attachment/2646685/Video+2025-05-22+17.46.36.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if3888:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,"25/May/25 1:20 PM;e.sheremetyev;GUI;;;","25/May/25 7:15 PM;m13.hasan;Understood mentor;;;",,
Password Field: Eye Icon for viewing password missing in Chrome but available in Edge Browser,QATC-924149,3830401,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 2:36 PM,25/May/25 7:14 PM,14/Jun/25 2:49 PM,25/May/25 1:20 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application in Chrome Browser: [https://roombridge.demohoster.com/]
 # Navigate to either the Sign-Up or Login page

 # Locate the Password input field

 # Observe the presence or absence of the eye icon (show/hide password)

 # Repeat the same steps in Microsoft Edge

*Actual result:* Eye Icon for viewing password missing in Chrome but available in Edge Browser - see here [^Video 2025-05-22 17.25.18.mp4]

*Expected result:* The password field should consistently display the eye icon across all supported browsers (including Chrome and Edge), allowing users to toggle visibility of their input","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 2:34 PM;m13.hasan;Video 2025-05-22 17.25.18.mp4;https://jira.a1qa.com/secure/attachment/2646675/Video+2025-05-22+17.25.18.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if386o:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,"25/May/25 1:18 PM;e.sheremetyev;Where did you  find information that you have to test using Edge Browser?;;;","25/May/25 1:20 PM;e.sheremetyev;it's enhancement here;;;","25/May/25 7:14 PM;m13.hasan;Sorry mentor, I should ask question before cross browser testing ;;;",
Sign-Up Page: Add confirm password field and password visibility toggle option,QATC-924129,3830351,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 1:26 PM,25/May/25 1:22 PM,14/Jun/25 2:49 PM,25/May/25 1:22 PM,,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Navigate to the Sign Up page 
 # Pay attention to the password field - see here [^Screenshot 2025-05-22 162203.png]

*Expected behavior:*
 * A Confirm Password field should be added below the Password field to ensure users enter their password correctly

 * A password visibility toggle icon (eye icon) should be available inside the Password field to show/hide the input for user convenience ","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85

 ",,,,,,,,,,Leads and Reporter only,"22/May/25 1:24 PM;m13.hasan;Screenshot 2025-05-22 162203.png;https://jira.a1qa.com/secure/attachment/2646619/Screenshot+2025-05-22+162203.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if37wg:",9223372036854775807,,,,,,,,,5-Enhancement,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Availability Section: Date Picker Missing and Month Selection Limited to May 2025 – February 2026,QATC-924122,3830339,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 1:12 PM,25/May/25 1:12 PM,14/Jun/25 2:49 PM,25/May/25 1:12 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Navigate to Your Listings

 # Select a listing and go to the Availability section

 # Try selecting a date range using the calendar - see here [^Video 2025-05-22 16.11.18.mp4]

 

*Actual result:* Date Picker Missing and Month Selection Limited to May 2025 – February 2026

*Expected result:* A date picker should be available to allow easy selection of start and end dates, and the system should allow selection of a broader range of months beyond just May 2025 to February 2026 for more flexibility in availability planning","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 1:12 PM;m13.hasan;Video 2025-05-22 16.11.18.mp4;https://jira.a1qa.com/secure/attachment/2646609/Video+2025-05-22+16.11.18.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,Functional,,,,,,,,,,,,,,,,,,,,,,,,"0|if37ts:",9223372036854775807,,,,,,,,,3-Average,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
"Details page: The ""Save"" button shows visual glitches when hovered or clicked",QATC-924035,3830120,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 8:17 AM,25/May/25 1:15 PM,14/Jun/25 2:49 PM,25/May/25 1:15 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Select any listing and go to the Details page
 # Hover over or click the ""Save"" button - see here [^Video 2025-05-22 11.16.13.mp4

*Actual result:* The ""Save"" button shows visual glitches when hovered or clicked

*Expected result:* The ** ""Save"" button should respond visually in a consistent manner when hovered or clicked, without showing any distortion or misalignment","*OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 8:16 AM;m13.hasan;Video 2025-05-22 11.16.13.mp4;https://jira.a1qa.com/secure/attachment/2646422/Video+2025-05-22+11.16.13.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if36io:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
"Address Page:The ""Update Map"" button shows visual glitches when hovered or clicked",QATC-924034,3830119,Bug,Resolved,QATC,Training Center,software,a.golubovich,,,Major,Fixed,,m13.hasan,m13.hasan,22/May/25 8:11 AM,25/May/25 1:15 PM,14/Jun/25 2:49 PM,25/May/25 1:15 PM,1.0,,RoomBridge,,0,,"*Steps:*
 # Open the application: [https://roombridge.demohoster.com/]
 # Select any listing and go to the Address section

 # Hover over or click the ""Update Map"" button - see here [^Video 2025-05-22 11.10.57.mp4]

*Actual result:* The ""Update Map"" button shows visual glitches when hovered or clicked

*Expected result:* The ** ""Update Map"" button should respond visually in a consistent manner when hovered or clicked, without showing any distortion or misalignment"," ** *OS:* Windows 11 Home 64-bit

*Browser:* Google Chrome Version 135.0.7049.85",,,,,,,,,,Leads and Reporter only,"22/May/25 8:11 AM;m13.hasan;Video 2025-05-22 11.10.57.mp4;https://jira.a1qa.com/secure/attachment/2646421/Video+2025-05-22+11.10.57.mp4",,,,,,,,,,,,,,,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,GUI,,,,,,,,,,,,,,,,,,,,,,,,"0|if36ig:",9223372036854775807,,,,,,,,,4-Minor,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
